source,stream,rxMs,panoX,panoY,correctedPanoY,rawAzimuthDeg,relativeElevationDeg,absoluteElevationDeg,verticalAngularSizeDeg,panoramaAngularWidthDeg,model,fovDeg,principalYpx,focalYpx,axisPitchDeg,calibrationLevel
BW_20260723_164201_6969.jpg,BW,1784796121510,43256,1874.00000000,1874.00000000,237.61230469,1.15978881,,0.19380701,0.14831543,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164201_6969.jpg,BW,1784796121510,42356,1103.00000000,1103.00000000,232.66845703,6.28914458,,0.11228942,0.24169922,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164157_6962.jpg,BW,1784796117464,6104,1915.00000000,1915.00000000,33.53027344,0.88576810,,0.04678792,0.07141113,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164210_6985.jpg,BW,1784796130732,43258,1870.00000000,1870.00000000,237.62329102,1.18651989,,0.20716323,0.15380859,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164210_6985.jpg,BW,1784796130732,42345,1101.00000000,1101.00000000,232.60803223,6.30235494,,0.11228370,0.24719238,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164211_6986.jpg,BW,1784796131307,40951,2111.00000000,2111.00000000,224.95056152,-0.42452623,,0.23398175,0.11535645,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164219_7001.jpg,BW,1784796139954,43256,1873.00000000,1873.00000000,237.61230469,1.16647163,,0.12029157,0.12634277,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164219_7001.jpg,BW,1784796139954,42348,1097.00000000,1097.00000000,232.62451172,6.32877363,,0.11227224,0.25817871,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164220_7002.jpg,BW,1784796140531,40518,1765.00000000,1765.00000000,222.57202148,1.88799127,,0.14692292,0.13732910,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
BW_20260723_164228_7017.jpg,BW,1784796149177,43259,1870.00000000,1870.00000000,237.62878418,1.18651989,,0.20048007,0.15930176,pinhole,26.88000000,2047.50000000,8570.06027914,,fov_only_model_estimate
